id,name,ChineseName,dateOfBirth,gender,currentRole,organization,party,education,careerHistory,bio,sources,slug
084,Derrick Johnson,德里克·约翰逊,1982-11-22,男,总裁兼首席执行官,,,就读于德克萨斯大学奥斯汀分校，并于2001年至2004年间为德克萨斯长角牛队效力，参加大学橄榄球比赛。,"2005-2017：堪萨斯城酋长队线卫（2005年NFL选秀首轮第15顺位入选）。  
2018：为奥克兰突袭者队出战六场比赛。  
2019年与酋长队签署荣誉合同后退役。","德里克·奥哈拉·约翰逊（生于1982年11月22日）是美国前职业橄榄球运动员，曾在美国国家橄榄球联盟（NFL）担任线卫。他出生于得克萨斯州韦科市，就读于韦科高中，在校期间是橄榄球、田径和篮球三项运动的明星运动员。在橄榄球领域，他司职线卫，在高二和高三赛季后均入选《游行》杂志全美高中最佳阵容以及得州5A级联赛第一阵容。他还参加了2000年首届美国陆军全美明星碗比赛。作为田径运动员，约翰逊曾获得100米短跑和三级跳远项目的州级参赛资格。

2001年至2004年，约翰逊在得克萨斯大学奥斯汀分校为得州长角牛队效力大学橄榄球。他成为长角牛队史上最具统治力的线卫之一，于2002年、2003年和2004年连续入选大十二联盟第一阵容。2003年他获得共识全美第一阵容荣誉，2004年更是全票当选全美第一阵容。大四赛季结束后，约翰逊被评选为大十二联盟年度最佳防守球员，并荣获迪克·巴特库斯奖和布朗科·纳古尔斯基奖。

约翰逊在2005年NFL选秀首轮第15顺位被堪萨斯城酋长队选中。他为酋长队效力13个赛季，期间四次入选职业碗（2011-2013年、2015年）。他于2011年入选全职业第一阵容，2015年入选全职业第二阵容，并在2013年荣获职业碗防守组最有价值球员奖。约翰逊以1,151次擒抱成为堪萨斯城酋长队史擒抱数第一人。2018年他为奥克兰突袭者队出战六场比赛后，于2019年5月8日与酋长队签署一日荣誉合同并正式退役。

其NFL职业生涯荣誉包括：
- 四次入选职业碗
- 全职业第一阵容
- 全职业第二阵容
- 职业碗防守组最有价值球员
- 职业足球作家协会全美橄榄球联合会阵容

大学期间荣誉包括：
- 迪克·巴特库斯奖
- 布朗科·纳古尔斯基奖
- 杰克·兰伯特奖
- 大十二联盟年度最佳防守球员
- 两次共识全美第一阵容
- 三次大十二联盟第一阵容
- 大十二联盟联合年度最佳防守新秀

其兄德怀特·约翰逊，以及表兄弟伯特·伊曼纽尔与本·伊曼纽尔也曾效力于NFL。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Derrick_Johnson"", ""reliability"": ""high""}]",derrick-johnson
085,Liz Shuler,丽兹·舒勒,1970-01-01,女,主席,001,,1992年毕业于俄勒冈大学，获新闻学文学学士学位。,大学毕业后，她于1990年代担任国际电气工人兄弟会（IBEW）第125地方分会工会组织者。1997年，她成为IBEW的游说专员。2004年6月，她被任命为IBEW主席埃德温·希尔的执行助理。2009年9月16日，她当选为美国劳工联合会-产业工会联合会（AFL–CIO）财务秘书。2021年8月20日，她当选为AFL–CIO主席，接替理查德·特鲁姆卡未完成的任期；2022年6月12日，她正式当选为AFL–CIO主席，开启完整任期。,"伊丽莎白·""莉兹""·H·舒勒（生于1970年）是美国劳工运动活动家，现任美国劳工联合会-产业工会联合会（AFL–CIO）主席，是该联合会历史上首位当选主席的女性，也是该劳工联盟史上职位最高的女性。舒勒此前曾担任联合会财务秘书，同样成为担任该职位的首位女性，且截至2009年是最年轻的任职者。从她当选至2013年期间，AFL–CIO首次出现三位高级官员中由女性占据两席的局面。

舒勒于1970年出生于兰斯与乔伊斯·舒勒家庭。其父是波特兰通用电气公司（PGE）的工会电线架设工，母亲则在该公司担任非工会秘书职务。舒勒在俄勒冈州格拉德斯通长大，就读公立学校，1992年于俄勒冈大学获得新闻学学士学位。大学期间，她暑期在PGE工作，并活跃于俄勒冈州民主党。

她的工会生涯始于大学毕业后，担任国际电气工人兄弟会（IBEW）125地方分会的组织者，专注于组织PGE文职员工的运动。1997年，她成为IBEW在俄勒冈州议会的游说代表，成功推动否决了俄勒冈电力市场解除管制的法案。她还在工会的COMET和MEMO组织培训项目中担任讲师，并服务于州劳工委员会。1998年，她领导AFL–CIO成功挫败了加利福尼亚州226号提案。

加州竞选活动后，舒勒被任命为IBEW国际代表，迁往华盛顿特区，在IBEW政治与立法事务部工作。2004年6月，她被任命为IBEW主席埃德温·希尔的执行助理，成为当时该工会历史上职位最高的女性。在此职位上，她负责监督协调IBEW的11个部门。

2009年7月7日，AFL–CIO财务秘书理查德·特拉姆卡选择舒勒作为其财务秘书职位的竞选搭档。她于2009年9月16日正式当选。任期内她提出要联系35岁以下劳动者、运用新媒体扩大影响，并致力于平衡联合会预算。特拉姆卡还任命她负责领导AFL–CIO的青年拓展工作。

2021年8月5日特拉姆卡逝世后，舒勒担任AFL–CIO代理主席。2021年8月20日，她当选完成特拉姆卡剩余任期。2022年6月12日，她以全票通过当选主席，任期四年，由此巩固了其作为AFL–CIO首位女性领导人的地位。舒勒曾在2024年民主党全国代表大会上发表演讲。

除AFL–CIO职务外，舒勒活跃于妇女竞选基金组织，并支持国际妇女民主中心。她还积极参与俄勒冈州和华盛顿州的""行业女性""分会，这些组织致力于为女性在技能行业创造发展机会。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Liz_Shuler"", ""reliability"": ""high""}]",liz-shuler
086,Ronald Hicks,罗纳德·希克斯,1967-08-04,男,纽约总主教,,,1989年获得芝加哥洛约拉大学哲学学士学位，1994年获得圣玛丽湖大学/曼德林神学院神学硕士学位。2003年获得圣玛丽湖大学神学博士学位。,"慈悲圣母堂助理牧师（1994-1996）。  
圣伊丽莎白·西顿堂区助理牧师（1996-1999）。  
圣约瑟夫神学院培育主任（1999-2005）。  
萨尔瓦多“我们的兄弟姐妹”组织主任（2005-2010）。  
芒德莱恩神学院培育主任（2010-2015）。  
芝加哥总教区副主教（2015-2018）。  
芝加哥辅理主教（2018-2020）。  
乔利埃特教区主教（2020-2026）。  
纽约总教区候任总主教（2025年12月18日任命）。","罗纳德·阿尔登·希克斯（生于1967年8月4日）是美国天主教高级教士，自2025年12月18日起被任命为纽约总教区候任总主教。他出生于伊利诺伊州哈维市，在南荷兰市长大，具有爱尔兰、德国和波兰血统。早年对司铎圣职的考量使他进入南奎格利预备修院，并于1985年毕业。在进入大学前，他曾在墨西哥由""我们的小兄弟姐妹""组织运营的孤儿院志愿服务一年。希克斯于1989年在芝加哥洛约拉大学获得哲学学士学位，1994年在圣玛丽湖大学/曼德林神学院获得神学硕士学位。

1994年5月21日，希克斯由约瑟夫·伯纳丁枢机祝圣为芝加哥总教区司铎。早期牧职包括担任芝加哥圣母慈悲堂区及伊利诺伊州奥兰山圣伊丽莎白·安·西顿堂区的助理主任司铎。1999年，他被任命为芝加哥圣若瑟修院培育长。2003年，他在圣玛丽湖大学获得牧职博士学位。2005年至2010年间，希克斯旅居萨尔瓦多，担任""我们的小兄弟姐妹""组织负责人。返回伊利诺伊州后，弗朗西斯·乔治枢机于2010年任命他为曼德林神学院培育长。2015年1月1日，布拉泽·库皮奇总主教遴选他担任芝加哥总教区副主教。

2018年7月3日，教宗方济各任命希克斯为穆纳蒂亚纳领衔主教及芝加哥辅理主教，他于同年9月17日接受祝圣。2020年7月17日，教宗任命他为乔利埃特教区主教，并于2020年9月29日在圣雷蒙德·诺纳图主教座堂就职。2025年12月18日，教宗利奥十四世任命希克斯为纽约总教区总主教，就职典礼定于2026年2月6日举行。

在美国天主教主教会议中，希克斯担任圣职、献身生活及圣召委员会主席。同时，他也是天主教扩展协会及曼德林神学院咨询委员会的董事会成员。作为芝加哥小熊队的知名球迷，希克斯曾表示自己与教宗利奥十四世存在个人相似性——两人在相同社区成长，并经常光顾相同的本地场所。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Ronald_Hicks"", ""reliability"": ""high""}]",ronald-hicks
087,Gavin Newsom,加文·纽森,1967-10-10,男,州长,,,1989年毕业于圣塔克拉拉大学，获政治学理学学士学位。曾就读于圣母胜利学校和雷德伍德高中，于1985年毕业。,"1996年被任命为旧金山停车与交通委员会委员。  
1997年被任命为旧金山监事会成员，并于1998年首次当选该委员会委员。  
2004年至2011年担任旧金山市长（2003年当选，2007年连任）。  
2011年至2019年担任加利福尼亚州副州长（2010年当选，2014年连任）。  
自2019年起担任加利福尼亚州州长（2018年当选，2022年连任）。","加文·克里斯托弗·纽森（生于1967年10月10日）是美国政治人物与商人，自2019年起担任第40任加利福尼亚州州长。作为民主党成员，他此前于2011年至2019年担任第49任加利福尼亚州副州长，并于2004年至2011年担任第42任旧金山市长。纽森出生于旧金山，1989年毕业于圣克拉拉大学，获政治学理学学士学位。踏入政界前，他与投资者戈登·盖蒂共同创立了精品酒庄及酒店集团PlumpJack Group。该企业发展至管理23家业务实体，涵盖酒庄、餐厅和酒店。

纽森的政治生涯始于1996年，时任旧金山市长威利·布朗任命其为该市停车与交通委员会委员。1997年布朗任命其填补旧金山监事会空缺，纽森于1998年首次当选监事。2003年他当选旧金山市长，并于2007年连任。在市长任内，他主导了2004年旧金山同性婚姻合法化进程，并处理了2008年加州第8号提案通过后的社会影响。

2010年纽森当选加州副州长，2014年获得连任。在此期间，他于2012年至2013年主持《加文·纽森秀》节目，并于2013年出版著作《公民之城》，聚焦数字工具推动民主变革。2018年他当选加州州长，2022年成功连任。其州长任期经历了新冠疫情应对工作，2021年因此面临未成功的罢免程序。2025年，他开始主持播客节目《这里是加文·纽森》，并推动通过了加州第50号提案——《选举舞弊应对法案》，该公投案旨在修订州宪法。其政治生涯还经历了2025年洛杉矶抗议事件及纽森诉特朗普法律诉讼等标志性事件。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Gavin_Newsom"", ""reliability"": ""high""}]",gavin-newsom
088,Kathy Hochul,凯西·霍赫尔,1958-08-27,女,州长,,,"1980年毕业于雪城大学，获政治学文学学士学位。  
1984年毕业于美国天主教大学哥伦布法学院，获法学博士学位。",1994年被任命为汉堡镇委员会委员，后经选举连任至2007年。2003年被任命为伊利县副文书官，2007年升任伊利县文书官并于同年当选完整任期，2010年获得连任。2011-2013年担任纽约州第26国会选区联邦众议员。2015-2021年任纽约州副州长。2021年起担任纽约州州长（现任）。,"凯瑟琳·考特尼·霍楚（生于1958年8月27日）是美国政治人物与律师，自2021年起担任纽约州第57任州长。作为民主党成员，她是纽约州首位女性州长。霍楚出生于纽约州布法罗市，1980年毕业于雪城大学，1984年获美国天主教大学哥伦布法学院法学博士学位。其早期职业生涯包括担任美国众议员约翰·拉法尔策和美国参议员丹尼尔·帕特里克·莫伊尼汉的法律顾问及立法助理，并曾在纽约州议会工作。

1994年，霍楚通过任命进入汉堡镇委员会开始地方公职生涯，任职至2007年。2003年被任命为伊利县副文书官，2007年由州长艾略特·斯皮策任命为伊利县文书官。她于2007年当选文书官完整任期并于2010年连任。2011年5月，霍楚在纽约州第26国会选区特别选举中获胜，成为40年来首位代表该选区的民主党人，于2011年至2013年担任美国众议员。任期内她联合发起简化护照办理流程的法案，曾就经济议题与巴拉克·奥巴马总统会晤，并成为17名与共和党人共同投票通过司法部长埃里克·霍尔德藐视国会决议的民主党议员之一。2012年因选区重划以微弱劣势败于克里斯·科林斯。

2014年纽约州长选举中，州长安德鲁·科莫选择霍楚作为竞选搭档。胜选后霍楚就任副州长，并于2018年与科莫共同连任。2021年8月24日，因科莫深陷性骚扰指控辞职，霍楚继任纽约州长。在2022年州长选举中，她以自1994年以来最微弱优势击败共和党籍联邦众议员李·泽尔丁，赢得完整任期。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Kathy_Hochul"", ""reliability"": ""high""}]",kathy-hochul
089,JB Pritzker,JB·普利兹克,1965-01-19,男,州长,,,毕业于杜克大学，获政治学文学学士学位；1993年获得西北大学法学院法学博士学位。,"20世纪80年代曾担任美国众议员及参议员的立法事务助理。  
1998年在民主党初选中竞选美国众议院席位未果。  
2003年至2006年担任伊利诺伊州人权委员会主席。  
2008年担任希拉里·克林顿总统竞选团队的全国联合主席。  
2018年当选伊利诺伊州第43任州长，于2019年1月就职，并于2022年成功连任。","杰伊·罗伯特·""JB""·普利兹克（生于1965年1月19日）是美国政治家、律师和商人，自2019年起担任伊利诺伊州第43任州长。出身于拥有凯悦酒店集团的富豪普利兹克家族，他毕业于杜克大学和西北大学法学院。在进入选举政治之前，他曾长期作为民主党的活跃成员和资金支持者。其早期政治参与包括1980年代在美国众议员汤姆·兰托斯、参议员特里·桑福德和艾伦·J·迪克森的立法团队工作，专注于贸易和交通事务。此后他创立了""21世纪民主领导力""组织，旨在为民主党吸引年轻选民。

普利兹克于1998年首次竞选公职，参加伊利诺伊州第九国会选区的民主党初选，在竞争激烈且耗资巨大的初选中获得第三名。2003年至2006年间，他在州长罗德·布拉戈耶维奇任内担任伊利诺伊州人权委员会主席。在2008年总统选举中，他担任希拉里·克林顿竞选团队的全国联合主席，并作为代表参加了2008年和2016年民主党全国代表大会。

普利兹克在2018年伊利诺伊州州长选举中赢得民主党初选，并在普选中击败共和党时任州长布鲁斯·劳纳。他于2019年1月14日就职，并于2022年连任成功，击败共和党候选人达伦·贝利。担任州长期间，他专注于财政政策、教育、医疗保健、清洁能源激励和刑事司法改革。其首个任期的关键政策成就包括娱乐用大麻合法化、扩大堕胎准入权以及领导该州应对新冠疫情。

在商业领域，普利兹克联合创立了普利兹克集团私募资本并担任管理合伙人。他还联合创立了芝加哥风投公司，资助了Techstars芝加哥和Built in Chicago等初创企业。他曾担任芝加哥市长拉姆·伊曼纽尔的创新与技术委员会""ChicagoNEXT""主席，并创立了非营利性数字初创企业孵化器1871。据《福布斯》统计，截至2025年8月其净资产估值约为39亿美元。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/JB_Pritzker"", ""reliability"": ""high""}]",jb-pritzker
090,Zohran Mamdani,佐兰·曼达尼,1991-10-18,男,市长,029,,"2010年毕业于布朗克斯科学高中。  
2014年于鲍登学院获得非洲研究专业学士学位。",曾担任住房顾问及音乐家。通过为Khader El-Yateem和Ross Barkan担任竞选经理进入地方政坛。2021年至2025年担任纽约州第36选区州众议员。2025年11月当选纽约市市长，于2026年1月1日正式就职。,"佐兰·夸梅·曼达尼（Zohran Kwame Mamdani，1991年10月18日出生）是美国政治人物，自2026年起担任纽约市第112任市长。作为民主党及美国民主社会主义者（DSA）成员，他是纽约市首位穆斯林及亚裔市长。曼达尼出生于乌干达坎帕拉，父母为印度裔学者马哈茂德·曼达尼与电影制作人米拉·奈尔。七岁移居美国前，他曾居住于南非开普敦，后定居纽约市。他毕业于布朗克斯科学高中，2014年在鲍登学院获得非洲研究学士学位，在校期间曾共同创立该校巴勒斯坦正义学生分会。

步入政坛前，曼达尼曾担任住房顾问及音乐人。他以“小豆蔻”（Young Cardamom）为艺名创作并表演说唱音乐，常与乌干达说唱歌手HAB合作。他曾为2016年电影《卡推女王》策划并制作配乐，并获得音乐监制工会奖提名。

曼达尼于2015年以志愿者身份进入纽约市政界，2017年加入纽约市民主社会主义者组织。他曾担任哈德尔·埃尔-亚特姆与罗斯·巴坎的竞选经理，并作为现场组织者参与蒂芙尼·卡万2019年的竞选活动。2020年，他在民主党初选中击败时任议员阿拉维拉·西莫塔斯，首次当选纽约州议会第36选区（皇后区阿斯托利亚与长岛市）议员，并于2022年及2024年无对手连任。

2024年10月，曼达尼宣布参选2025年纽约市长选举，成为首位政治生涯始于皇后区的市长候选人。作为民主社会主义者，他以进步主义政纲竞选，主张推行免费城市公交、普及公共托育服务、建立市营食品超市、冻结租金稳定单位租金、增加可负担住房供应，以及到2030年实现30美元最低时薪。他还公开支持LGBTQ权益、全面的公共安全改革，以及对企业与高收入者加税。2025年6月，他在民主党初选中击败前州长安德鲁·科莫，并于11月大选中当选市长，于2026年1月1日正式宣誓就职。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Zohran_Mamdani"", ""reliability"": ""high""}]",zohran-mamdani
091,Karen Bass,凯伦·巴斯,1953-10-03,女,市长,,,"1971年至1973年就读于圣地亚哥州立大学哲学专业，  
1982年毕业于南加州大学凯克医学院医师助理项目，  
1990年获加州州立大学多明格斯山分校健康科学理学学士学位，  
2015年获南加州大学苏珊娜·多拉克-派克社会工作学院社会工作硕士学位。",2004年至2010年担任加利福尼亚州众议院议员，2008年起任议长。2011年至2022年担任美国众议院议员，先后代表加利福尼亚州第33选区及第37选区。2022年当选洛杉矶市第43任市长。,"凯伦·露丝·巴斯（生于1953年10月3日）是美国政治人物，自2022年起担任洛杉矶第43任市长，也是该市首位女性市长。作为民主党成员，她的政治生涯涵盖州和联邦层面。从政前，巴斯于1982年从南加州大学凯克医学院医师助理项目毕业后，曾在该校担任医师助理和临床讲师。她于1990年在加州州立大学多明格斯山分校获得健康科学学士学位。1980年代末，她共同创立了位于南洛杉矶的基层组织""社区联盟""。

巴斯于2004年当选加州州议会第47选区议员，由此开启政治生涯。就职时，她是州立法机构中唯一的非裔女性议员，并于2006年和2008年获得连任。任内，议长法比安·努涅斯任命她为2005-06届会议多数党党鞭及2007-08届会议多数党议会领袖。作为立法机构黑人核心小组副主席，她主导编撰了首份《加州黑人状况报告》。

2008年，巴斯当选加州州议会第67任议长，成为美国历史上首位领导州立法机构的非裔女性。其议长任期正值严峻的预算危机时期。她通过谈判解决了数十亿美元的财政缺口，并因此与三位同僚共同获得2010年""勇气人物奖""。担任议长期间，她推动完善儿童福利体系的法律，扩大儿童健康家庭保险覆盖范围，通过加州21世纪经济委员会推动税法改革，并为愿景剧院和洛杉矶联合学区等地方项目争取资金。

巴斯于2010年当选美国众议员，最初代表加州第33国会选区，2012年选区重划后代表第37选区，任职至2022年。国会任内，她于第116届国会（2019-2021年）担任国会黑人核心小组主席，并先后担任众议院司法委员会犯罪、恐怖主义、国土安全与调查小组委员会以及外交事务委员会非洲、全球健康与人权小组委员会主席。她还创立并联合主持国会寄养青年核心小组。2015年，她在国会任职期间获得南加州大学苏珊娜·德沃拉克-佩克社会工作学院社会工作硕士学位。

巴斯在2022年洛杉矶市长选举中获胜，成为该市首位女性市长及首位非裔女性市长，创造了历史。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Karen_Bass"", ""reliability"": ""high""}]",karen-bass
092,Brandon Johnson,布兰登·约翰逊,1976-03-27,男,市长,,,2004年于奥罗拉大学获得青年发展专业学士学位，2007年于同一大学获得教学专业硕士学位。,"2007-2010年：芝加哥公立学校詹纳学院小学社会学科教师。  
2011年：加入芝加哥教师工会担任组织者，协助组织2012年罢工。  
2018-2023年：任库克县第一区委员会委员。  
2023年至今：担任芝加哥第57任市长。","布兰登·约翰逊（生于1976年3月27日）是美国政治人物、前教育工作者，自2023年起担任芝加哥第57任市长。作为民主党成员，他于2018年至2023年代表第一选区在库克县委员会开启政治生涯。约翰逊在伊利诺伊州埃尔金市出生并长大，先后在奥罗拉大学获得青年发展学士学位和教学硕士学位。

他职业生涯始于芝加哥公立学校系统的社会科学教师，先后在詹纳学院小学和乔治·威斯汀豪斯大学预科学校任教。在此期间，他成为芝加哥教师工会的活跃成员和组织者，协助组织了2012年教师罢工。2018年首次竞选公职时，约翰逊击败时任委员当选库克县委员会委员，并于2022年获得连任。

担任委员期间，约翰逊主导推动了《公平住房条例》，禁止房东审查租客的犯罪记录。2020年起草《黑人的命也是命正义决议案》，呼吁将警务资金重新分配给公共服务项目。2023年，约翰逊成功当选芝加哥市长。首轮选举中他与保罗·瓦拉斯进入决选，使时任市长洛丽·莱特福特未能连任，最终在决选中击败瓦拉斯。

他的竞选活动获得进步团体支持，核心政见包括增加公立学校经费、推进警务改革、征收房地产转让税解决无家可归问题，以及通过多项税收开辟新财源。当选后，他成为芝加哥第三位非裔市长，也是1930年代以来首位来自芝加哥西区的市长。

约翰逊在政治生涯中被广泛视为进步派政治家。担任市长后，其公开施政重点包括解决无家可归问题、推行警务改革与教育改革。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Brandon_Johnson"", ""reliability"": ""high""}]",brandon-johnson
093,Ron DeSantis,罗恩·德桑蒂斯,1978-09-14,男,州长,,,2001年以优异成绩毕业于耶鲁大学，获文学学士学位。2005年以良好成绩毕业于哈佛大学法学院，获法律博士学位。,"2004年受任为美国海军军官，担任法律顾问及特别助理美国检察官，直至2010年荣誉退役。  
2013年至2018年担任佛罗里达州第六国会选区美国众议员。  
2018年当选佛罗里达州第46任州长，于2019年就职。  
2023年5月宣布参选2024年共和党总统提名候选人，2024年1月退选。","罗纳德·迪翁·德桑蒂斯（生于1978年9月14日）是美国政治家、律师及前海军军官，自2019年起担任佛罗里达州第46任州长。作为共和党成员，他此前于2013年至2018年担任佛罗里达州第六国会选区的联邦众议员。

德桑蒂斯出生于佛罗里达州杰克逊维尔。2001年以历史学文学士学位毕业于耶鲁大学，获极优等荣誉，在校期间担任大学棒球队队长。随后于2005年以优等荣誉获得哈佛法学院法律博士学位。

2004年，德桑蒂斯被任命为美国海军军法署军官。其服役经历包括为海豹突击队第一队提供法律咨询、2007年作为增兵部队成员派驻伊拉克，以及2006年在关塔那摩湾拘留营工作。2010年光荣退役前，曾被任命为佛罗里达州中区联邦检察官特别助理。此后他继续在海军预备役服役，晋升至海军少校军衔。所获军事荣誉包括铜星勋章及海军与海军陆战队嘉奖勋章。

德桑蒂斯于2012年首次当选联邦众议员，与茶党运动结盟，并于2014年和2016年连任。任期内成为自由党团创始成员。2016年曾短暂竞选联邦参议员，但因现任议员马可·卢比奥寻求连任而退选。

2018年，德桑蒂斯获得共和党提名，以微弱优势击败民主党人安德鲁·吉勒姆当选佛罗里达州州长。其执政期间领导了该州对COVID-19疫情及重大飓风的应对工作，主导推动《父母教育权利法案》等立法，并签署《心跳保护法案》。在2022年州长选举中以巨大优势击败前州长查理·克里斯特获得连任。

第二任期内，德桑蒂斯创立佛罗里达州商务部与政府效率部，并签署佛罗里达州参议院第266号法案。2023年5月24日宣布参加2024年共和党总统候选人提名竞选，2024年1月21日退出竞选并宣布支持前总统唐纳德·特朗普。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Ron_DeSantis"", ""reliability"": ""high""}]",ron-desantis
094,Greg Abbott,格雷格·阿博特,1957-11-13,男,州长,,,1981年毕业于德克萨斯大学奥斯汀分校，获金融学工商管理学士学位。1984年获得范德堡大学法学院法学博士学位。,"1996-2001年：德克萨斯州最高法院法官。  
2002-2015年：第50任德克萨斯州总检察长。  
2015年至今：第48任德克萨斯州州长。","格雷戈里·韦恩·阿博特（生于1957年11月13日）是美国政治家、律师及法学家，自2015年起担任得克萨斯州第48任州长。作为共和党成员，其政治生涯包括2002年至2015年担任得克萨斯州第50任总检察长，以及1996年至2001年担任得克萨斯州最高法院大法官。截至2025年，阿博特已成为美国现任州长中任职时间最长者。

阿博特出生于得克萨斯州威奇托福尔斯。他于1981年在得克萨斯大学奥斯汀分校获得金融学工商管理学士学位，1984年在范德堡大学法学院获得法学博士学位。随后于1984年至1992年间在巴特勒与比尼恩律师事务所从事私人执业。其司法生涯始于休斯顿，曾担任第129地方法院州审判法官三年。1995年，时任州长乔治·沃克·布什任命他为得克萨斯州最高法院大法官；其后他于1996年和1998年两次当选连任。

阿博特于2002年当选得克萨斯州总检察长，并于2006年和2010年获得连任，成为该州历史上任职时间最长的总检察长。任内他 notably 推动在得州议会大厦展示《十诫》，该立场于2005年范奥登诉佩里案中获得美国最高法院支持。他还为州内禁止同性婚姻的法案辩护，并参与多起针对奥巴马政府的诉讼，挑战《平价医疗法案》及多项环境监管政策。他设立了追捕性犯罪者的逃犯追缉组和专门处理选民欺诈起诉的专项部门。

阿博特于2014年当选州长，成为得克萨斯州首位、全美第三位使用轮椅的州长。任州长期间，他推行保守派政策议程，包括维持得州堕胎禁令、支持宽松的枪支法律、保障执法部门资金以及推动选举改革。在COVID-19疫情期间，他反对实施口罩与疫苗强制令，并禁止地方政府自行颁布相关措施。针对2021年冬季风暴引发的电力危机，他呼吁改革得克萨斯电力可靠性委员会（ERCOT），并签署要求发电厂进行防寒改造的立法。他还将边境安全作为施政重点，于2021年启动“孤星行动”以打击非法移民。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Greg_Abbott"", ""reliability"": ""high""}]",greg-abbott
095,Sarah Huckabee Sanders,莎拉·赫卡比·桑德斯,1982-08-13,女,州长,,,2004年毕业于奥奇塔浸会大学，获文学学士学位，主修政治学，辅修大众传播学。,"美国教育部国会事务区域联络员（乔治·W·布什总统任内）。  
唐纳德·特朗普2016年总统竞选高级顾问。  
白宫副新闻秘书（2017年），后任白宫新闻秘书（2017-2019年）。  
2023年当选阿肯色州第47任州长。","莎拉·伊丽莎白·哈克比·桑德斯（生于1982年8月13日）是美国政治家，自2023年起担任阿肯色州第47任州长。作为共和党成员，她是前阿肯色州州长迈克·哈克比的女儿。在担任州长前，她于2017年至2019年期间担任第31任白宫新闻秘书，服务于唐纳德·特朗普总统，是该职位历史上第三位女性。她还曾担任特朗普2016年总统竞选活动的高级顾问。

桑德斯出生于阿肯色州小石城，2004年毕业于沃希托浸会大学，获政治学文学学士学位。她的早期政治生涯始于参与父亲的竞选活动，包括其1992年参议院竞选和2002年州长连任竞选。她曾在乔治·W·布什总统任内担任美国教育部国会事务区域联络员，并在俄亥俄州担任布什2004年连任竞选活动的现场协调员。她是共和党咨询公司Second Street Strategies的创始合伙人，并担任父亲2008年总统竞选活动的全国政治主任。桑德斯还曾担任蒂姆·波伦蒂2012年总统竞选的高级顾问，并参与了阿肯色州联邦参议员约翰·布兹曼和汤姆·科顿的竞选活动。2010年，她被《时代》杂志评为政治领域“40位40岁以下精英”之一。

在特朗普政府中，桑德斯最初担任白宫副新闻秘书，后于2017年7月晋升为新闻秘书。作为新闻秘书，她是政府政策决策的发言人，与白宫记者团关系紧张。她主持的新闻发布会比此前13任新闻秘书中的任何一位都少。在穆勒调查期间，她向调查人员承认自己在职务中曾发表虚假陈述。她于2019年6月离职。

2021年1月，桑德斯在特朗普的支持下宣布竞选阿肯色州州长。她于2022年5月获得共和党提名，并在大选中击败民主党候选人克里斯·琼斯。2023年就职后，她成为阿肯色州首位女性州长、首位父亲也曾担任州长的女性州长，以及美国现任最年轻的州长。她是《纽约时报》畅销书《为自己发声》的作者，曾任福克斯新闻频道撰稿人，并曾担任富布赖特项目董事会成员。","[{""sourceName"": ""Wikipedia"", ""sourceUrl"": ""https://en.wikipedia.org/wiki/Sarah_Huckabee_Sanders"", ""reliability"": ""high""}]",sarah-huckabee-sanders
